scenario,time_s,hr_bpm,map_mmHg,sbp_mmHg,dbp_mmHg,co_L_min,sv_mL,svr_dyn_s_cm5,cvp_mmHg,SaO2_pct,SvO2_pct,PaO2_mmHg,PaCO2_mmHg,CPP_mmHg,ICP_mmHg,DO2_mL_min,lactate_mmol_L,brainFlow_mL_100g_min,ACA_mL_100g_min,MCA_mL_100g_min,PCA_mL_100g_min,renalPerfusion_mL_min,urineOutput_mL_h,VT_mL,minuteVentilation_mL_min,alveolarVentilation_mL_min,airwayPressure_cmH2O,airwayFlow_mL_s,lungVolume_mL,breathDuration_s,respiratoryRate_per_min,PEEP_cmH2O,FiO2_pct,VT_mL_kg_PBW,preloadEDV_mL,strokeVolume_mL,contractility_relative,afterload_dimensionless
healthy,0,72,87.4,119.13333333333334,71.53333333333333,5.04,70,1300,5.5,97.63509909722804,67.85047976526253,91.98355469387023,40,82.4,5,805.1740001712126,1,50,18,22,10,1006.7707317073172,110.60936585365855,420,6720,4480,1.68,336,0,3.75,16,0,21,6,120,70,1,1
healthy,1,75.96731004144095,137.80744421135506,169.69896951914603,121.86168155745958,5.3820907320242055,70.84745700602298,1941.905056345375,7.163579133512755,99.89772717283876,74.72470919797509,273.84454416329766,29.806500407397333,133.82679417061533,3.9806500407397323,908.7707650547873,1,40.14060425756645,14.450617532723921,17.661865873329237,8.028120851513293,1152.963300373585,123.76669703362265,630,19530,15190,17,-707.9625,331.14375000000007,1.935483870967742,31,17,88,9,117.9939192801758,70.84745700602298,1.1768368309324713,1.1086300864584484
healthy,2,78.90892319417482,177.24778695359691,209.1305601613903,161.30640034970023,5.586796799891778,70.80057075603592,2417.853831920802,8.397061318831785,99.96795267977521,77.866270965792,408.6877182546672,22.248398781668,174.02294707543012,3.224839878166801,966.5666831969538,1,32.83022823678617,11.818882165243021,14.445300424185914,6.5660456473572335,1261.3596642394273,133.52236978154843,630,19530,15190,23.3,976.5,62.99999999999994,1.935483870967742,31,17,88,9,116.50648488023228,70.80057075603592,1.3079547779356238,1.1891752638635207
healthy,3,80.3489653787387,196.99738783235082,228.84482964976863,181.07366692364192,5.673544533496301,70.61129545045256,2650.8505853800975,9.000902234866798,99.97923829366789,79.29813427688302,474.6990694792834,18.548393168708362,194.14254851548,2.854839316870836,992.913340022734,1,29.25149462758804,10.530538065931694,12.870657636138738,5.85029892551761,1314.4242000962506,138.29817800866255,630,19530,15190,17,-659.1374999999999,287.04375000000005,1.935483870967742,31,17,88,9,115.77832377560179,70.61129545045256,1.3721424753092477,1.2286054836797093
healthy,4,81.05392601960216,206.74554000567935,238.56919133352676,190.83371434175564,5.712992471616349,70.48384639918261,2764.9122027399426,9.296507519010973,99.98284727083497,79.97986893320976,507.01437590737885,16.737086280570047,204.07183137762235,2.673708628057005,1005.388695405272,1,27.499555437428942,9.899839957474418,12.099804392468734,5.499911087485792,1340.4015010432192,140.63613509388972,630,19530,15190,24.717499999999998,976.5,125.99999999999989,1.935483870967742,31,17,88,9,115.42185858001618,70.48384639918261,1.403565027204671,1.2479082189252217
healthy,5,81.39903362165276,211.5339440240219,243.34449041770395,195.62867082718088,5.731602363312235,70.41364139472518,2820.7501161940318,9.441218620384717,99.98430927054648,80.30940257005894,522.8340646452801,15.850376100583878,208.94890641396353,2.585037610058388,1011.3973565374336,1,26.64190821883558,9.591086958780808,11.722439616287655,5.32838164376712,1353.1184720596086,141.78066248536476,630,19530,15190,17,-610.3125,246.0937500000001,1.935483870967742,31,17,88,9,115.24735401659488,70.41364139472518,1.418947675407071,1.2573577119712982
healthy,6,81.56797816988635,213.88164073924543,245.68543301039497,197.97974460367067,5.74054700636525,70.37745859544393,2848.0851010125443,9.512060733107527,99.98496417257797,80.46975433754362,530.578461323707,15.416294527527404,211.34001128649268,2.5416294527527397,1014.3154838477969,1,26.22205417613099,9.439939503407155,11.537703837497634,5.244410835226201,1359.34395915551,142.3409563239959,630,19530,15190,26.134999999999998,976.5,188.99999999999986,1.935483870967742,31,17,88,9,115.16192676301739,70.37745859544393,1.4264781225364545,1.2619836324790459
healthy,7,81.65068356440172,215.03175456742045,246.83216047523032,199.1315516135155,5.744886357835441,70.35931736326715,2861.466714844563,9.546740898536378,99.98527140428517,80.54802524720736,534.3696661259314,15.203793513870245,212.51137521603343,2.5203793513870227,1015.7384570023611,1,26.01651813129369,9.365946527265729,11.447267977769224,5.2033036262587355,1362.3915944399876,142.61524349959888,630,19530,15190,17,-561.4875000000001,208.29375000000013,1.935483870967742,31,17,88,9,115.12010656352965,70.35931736326715,1.4301645901213786,1.2642482132813873
healthy,8,81.69117130048708,215.59497493166435,247.3937040588054,199.6956103680938,5.747001235646302,70.35033460968425,2868.017572287439,9.56371828427412,99.985418732691,80.58628795931695,536.2256188165327,15.099765414986981,213.08499839016565,2.509976541498698,1016.4337294231626,1,25.91589967480526,9.329723882929894,11.402995856914314,5.183179934961052,1363.8835388748755,142.74951849873878,630,19530,15190,27.552499999999995,976.5,251.99999999999977,1.935483870967742,31,17,88,9,115.0996338336694,70.35033460968425,1.4319692695808055,1.2653568199255663
healthy,9,81.71099173400202,215.87074019559606,247.6686439284747,199.97178832915674,5.748034303791783,70.34591285470692,2871.2244899115467,9.572029421863117,99.9854901339592,80.60500622603824,537.1341849767488,15.048839326819113,213.36585626291415,2.5048839326819112,1016.7737753212313,1,25.866642748633858,9.311991389508188,11.381322809398897,5.173328549726774,1364.613907829497,142.8152517046547,630,19530,15190,17,-512.6625000000001,173.64375000000015,1.935483870967742,31,17,88,9,115.08961157951799,70.34591285470692,1.4328527353583416,1.265899529061954
healthy,10,81.72069466191805,216.00574960788208,247.8032481897477,200.10700031694927,5.748539494280049,70.34374240285155,2872.794409687315,9.576098069951243,99.9855249164812,80.61416650625816,537.5789659626382,15.023908885102673,213.50335871937182,2.502390888510267,1016.9401655665658,1,25.84252943125124,9.303310595250446,11.370712949750546,5.168505886250246,1364.9714538596313,142.8474308473668,630,19530,15190,28.969999999999995,976.5,314.9999999999997,1.935483870967742,31,17,88,9,115.08470526858822,70.34374240285155,1.4332852286612388,1.2661652077932373
healthy,11,81.72544464935265,216.07184492731477,247.86914491081527,200.1731949355645,5.748786676852765,70.3426784830384,2873.5629508197167,9.578089842688454,99.98554190310072,80.61865010498391,537.7967047846099,15.01170439529132,213.57067448778565,2.501170439529132,1017.0216022217152,1,25.830724957842328,9.299060984823237,11.365518981450624,5.166144991568469,1365.1464875365912,142.8631838782932,630,19530,15190,17,-463.8375000000002,142.14375000000018,1.935483870967742,31,17,88,9,115.08230342499336,70.3426784830384,1.4334969521504857,1.2662952686002593
healthy,12,81.72776996608425,216.1042019589881,247.90140465801701,200.20560060947366,5.748907652058651,70.34215731622626,2873.9391837211087,9.579064898419691,99.98555020898598,80.62084483607629,537.9032970088679,15.005729789095023,213.6036289800786,2.5005729789095015,1017.0614644715638,1,25.82494617633953,9.29698062348223,11.362976317589393,5.164989235267907,1365.2321738132885,142.87089564319595,630,19530,15190,30.387499999999996,976.5,377.9999999999997,1.935483870967742,31,17,88,9,115.08112762249392,70.34215731622626,1.433600599618779,1.2663589387835723
healthy,13,81.728908305496,216.12004222229245,247.91719728159296,200.2214646926422,5.748966867042591,70.34190210339554,2874.123365400036,9.579542228820516,99.98555427272349,80.62191920590513,537.9554783432269,15.002804970462488,213.6197617252462,2.500280497046248,1017.0809776525938,1,25.822117222052437,9.295962199938877,11.361731577703072,5.164423444410488,1365.2741208153839,142.87467087338456,630,19530,15190,17,-415.0125000000003,113.7937500000002,1.935483870967742,31,17,88,9,115.08055201818703,70.34190210339554,1.4336513393724164,1.2663901079907756
healthy,14,81.72946557006077,216.127796726612,247.92492846070394,200.229230859566,5.748995853466185,70.34177714692122,2874.2135300047985,9.579775901937097,99.98555626153198,80.62244514451673,537.9810232802471,15.001373149895214,213.62765941162246,2.500137314989521,1017.0905299157732,1,25.82073233107592,9.29546363918733,11.361122225673405,5.164146466215186,1365.294655620404,142.87651900583637,630,19530,15190,31.804999999999993,976.5,440.9999999999996,1.935483870967742,31,17,88,9,115.08027023589938,70.34177714692122,1.4336761785956176,1.2664053666161965
healthy,15,81.72973837428066,216.13159288804013,247.92871320261364,200.23303273075337,5.749010043102028,70.34171597092951,2874.2576693350484,9.579890294662386,99.98555723500236,80.62270261093862,537.9935285911092,15.000672214078524,213.63152566663229,2.5000672214078516,1017.0952060861889,1,25.820054369248968,9.295219572929629,11.360823922469546,5.164010873849794,1365.3047082629316,142.87742374366383,630,19530,15190,17,-366.1875000000002,88.59375000000016,1.935483870967742,31,17,88,9,115.08013229173065,70.34171597092951,1.4336883384301655,1.2664128363490081
healthy,16,81.72987192331121,216.13345126924608,247.93056599328418,200.23489390722705,5.749016989417806,70.34168602163263,2874.2792773760298,9.579946294666964,99.98555771152448,80.62282865089362,537.999650461742,15.000329076795579,213.63341836156653,2.5000329076795573,1017.0974952519517,1,25.819722478691087,9.295100092328791,11.360677890624078,5.1639444957382175,1365.3096294502377,142.87786665052138,630,19530,15190,33.22249999999999,976.5,503.99999999999955,1.935483870967742,31,17,88,9,115.0800647623134,70.34168602163263,1.4336942911757502,1.2664164930944048
healthy,17,81.72993730112519,216.13436102475427,247.93147301194313,200.23580503115983,5.749020389904278,70.34167135994035,2874.2898554122717,9.579973709002136,99.98555794479421,80.62289035256224,538.0026473724512,15.000161096800626,213.6343449150742,2.500016109680063,1017.09861589049,1,25.81956000443659,9.295041601597172,11.360606401952099,5.16391200088732,1365.312038576439,142.8780834718795,630,19530,15190,17,-317.36250000000035,66.54375000000016,1.935483870967742,31,17,88,9,115.08003170385037,70.34167135994035,1.4336972052927022,1.266418283223615
healthy,18,81.72996930628877,216.13480638809278,247.93191703546813,200.2362510644051,5.74902205457821,70.341664182368,2874.295033801687,9.579987129461275,99.9855580589876,80.62292055806594,538.0041144850932,15.000078863595128,213.63479850173326,2.500007886359513,1017.0991644889099,1,25.819480466520403,9.295012967947345,11.360571405268978,5.163896093304082,1365.3132179440772,142.87818961496694,630,19530,15190,34.639999999999986,976.5,566.9999999999995,1.935483870967742,31,17,88,9,115.0800155203555,70.341664182368,1.4336986318743512,1.2664191595664391
healthy,19,81.72998497414964,216.13502441202874,247.93213440350675,200.23646941628974,5.749022869504043,70.3416606686322,2874.297568839036,9.579993699335114,99.9855581148896,80.62293534491035,538.0048326978508,15.000038607015235,213.63502055132722,2.5000038607015242,1017.0994330504918,1,25.819441529396926,9.294998950582892,11.360554272934648,5.163888305879384,1365.313795293668,142.87824157643013,630,19530,15190,17,-268.5375000000004,47.64375000000017,1.935483870967742,31,17,88,9,115.0800075978606,70.3416606686322,1.4336993302454994,1.2664195885727603
