scenario,time_s,hr_bpm,map_mmHg,sbp_mmHg,dbp_mmHg,co_L_min,sv_mL,svr_dyn_s_cm5,cvp_mmHg,SaO2_pct,SvO2_pct,PaO2_mmHg,PaCO2_mmHg,CPP_mmHg,ICP_mmHg,DO2_mL_min,lactate_mmol_L,brainFlow_mL_100g_min,ACA_mL_100g_min,MCA_mL_100g_min,PCA_mL_100g_min,renalPerfusion_mL_min,urineOutput_mL_h,VT_mL,minuteVentilation_mL_min,alveolarVentilation_mL_min,airwayPressure_cmH2O,airwayFlow_mL_s,lungVolume_mL,breathDuration_s,respiratoryRate_per_min,PEEP_cmH2O,FiO2_pct,VT_mL_kg_PBW,preloadEDV_mL,strokeVolume_mL,contractility_relative,afterload_dimensionless
healthy,0,72,87.4,119.13333333333334,71.53333333333333,5.04,70,1300,5.5,97.63509909722804,67.85047976526253,91.98355469387023,40,82.4,5,805.1740001712126,1,50,18,22,10,1006.7707317073172,110.60936585365855,420,6720,4480,1.68,336,0,3.75,16,0,21,6,120,70,1,1
healthy,1,74.92218621133998,124.16873423282391,156.03965369484476,108.23327450181348,5.299775821688206,70.73706854654021,1772.8055244103316,6.725336047509468,99.82150266076077,73.49299464944723,225.9362002539802,32.491813434378265,119.91955288938608,4.249181343437826,886.605127088529,1,42.73790301495594,15.385645085384137,18.804677326580613,8.54758060299119,1114.4512265248532,120.30061038723677,630,19530,15190,17,-707.9625,331.14375000000007,1.935483870967742,31,17,88,9,118.52238888388564,70.73706854654021,1.130252020540406,1.0800132425925182
healthy,2,78.39729153994467,170.29244396760294,202.18317372629258,154.3470790882581,5.553914622685429,70.84319513583732,2335.072566427017,8.182523071220373,99.96196372221833,77.34332715296325,385.23458807067465,23.562971377326154,166.93614682987032,3.3562971377326156,956.9165812984171,1,34.101714180843835,12.27661710510378,15.004754239571287,6.820342836168766,1242.5063996945391,131.82557597250852,630,19530,15190,23.3,976.5,62.99999999999994,1.935483870967742,31,17,88,9,116.76519276705781,70.84319513583732,1.2851495725461461,1.1751661266261113
healthy,3,80.09850036964501,193.54569934603444,225.40059770337734,177.618250167363,5.65905846937819,70.65124120005132,2610.3257072900446,8.895876825092671,99.97771089872688,79.0530191631204,463.2177852072064,19.191931218794945,190.62650622415495,2.919193121879494,988.4150721859627,1,29.873939966745372,10.754618388028334,13.144533585367963,5.974787993349075,1305.1947416828798,137.46752675145916,630,19530,15190,17,-659.1374999999999,287.04375000000005,1.935483870967742,31,17,88,9,115.90497206385884,70.65124120005132,1.3609783772163455,1.2217474273875466
healthy,4,80.93131296338947,205.04674301831736,236.87482303925898,189.13270300784654,5.706270338653718,70.50757154075875,2745.0735866663954,9.245093205614495,99.9822838001281,79.86213661635928,501.39380895098117,17.05212496559748,202.34153052175762,2.7052124965597484,1003.2383708268109,1,27.80426836174351,10.009536610227663,12.233878079167145,5.560853672348703,1335.8832966547259,140.22949669892535,630,19530,15190,24.717499999999998,976.5,125.99999999999989,1.935483870967742,31,17,88,9,115.48385819322958,70.50757154075875,1.3980997360968153,1.2445509146666214
healthy,5,81.33900942263105,210.7003858958279,242.51327874711077,194.79393947018647,5.72839829733502,70.42621170330114,2811.038287158074,9.416049172079624,99.98406736258761,80.25227934396676,520.0825629697943,16.004600661276847,208.09992582970023,2.600460066127685,1010.3568885203808,1,26.791077889492993,9.644788040217477,11.788074271376917,5.358215577898598,1350.906622785048,141.58159605065433,630,19530,15190,17,-610.3125,246.0937500000001,1.935483870967742,31,17,88,9,115.27770541013926,70.42621170330114,1.4162721877281692,1.2557141716729054
healthy,6,81.53859382388367,213.4731456739839,245.27812847857825,197.57065427168675,5.7389990523228205,70.38383645318392,2843.330756108948,9.49973923961412,99.98485294232735,80.4419095916735,529.2314866272158,15.491793874913482,210.92396628649257,2.5491793874913475,1013.8090358688962,1,26.29507894426018,9.466228419933664,11.56983473547448,5.259015788852036,1358.2611667909518,142.24350501118568,630,19530,15190,26.134999999999998,976.5,188.99999999999986,1.935483870967742,31,17,88,9,115.17678503458298,70.38383645318392,1.425168359858001,1.2611790510338219
healthy,7,81.63629870289456,214.83167854833968,246.6326771945868,198.93117922521614,5.744133475435761,70.36249274775231,2859.1392649503505,9.540709014163394,99.98521857821436,80.5344223594597,533.7102658976299,15.240753589685093,212.30760318937118,2.5240753589685077,1015.4912233986723,1,26.052266797472416,9.37881604709007,11.462997390887864,5.210453359494483,1361.8615224688863,142.56753702219976,630,19530,15190,17,-561.4875000000001,208.29375000000013,1.935483870967742,31,17,88,9,115.12738030645002,70.36249274775231,1.4295234067261429,1.2638543371454436
healthy,8,81.6841293115124,215.49700564046807,247.2960273035052,199.5974948089495,5.7466338411868465,70.35190176627037,2866.8781886036904,9.560765425587915,99.98539325083645,80.57963551507149,535.9028149344578,15.117858911838734,212.9852197492842,2.5117858911838735,1016.3128642799371,1,25.93340013617334,9.336024049022402,11.410696059916269,5.186680027234669,1363.6240465624576,142.72616419062118,630,19530,15190,27.552499999999995,976.5,251.99999999999977,1.935483870967742,31,17,88,9,115.10319463384984,70.35190176627037,1.4316553835974213,1.2651640011483165
healthy,9,81.70754438703275,215.82277450024267,247.62082200714997,199.92375074678904,5.747854729644601,70.34668307271762,2870.666714132132,9.570583874521436,99.98547774904111,80.60175118706981,536.9761590286064,15.05769684729511,213.31700481551317,2.505769684729511,1016.7146465517355,1,25.875209953535002,9.3150755832726,11.3850923795554,5.175041990707003,1364.4868755322339,142.80381879790104,630,19530,15190,17,-512.6625000000001,173.64375000000015,1.935483870967742,31,17,88,9,115.09135473954765,70.34668307271762,1.4326990750931239,1.2658051362377452
